Nome	Endereco	Medidor	Localizacao	Tipo de Fluido	Data	Horario	Indice	Indice antigo	Consumo	Unid._levant.	Bateria	Ha desmontagem/corte	Houve desmontagem/corte	Ha vazamento	Ha fraude magnetica	Houve fraude magnetica	Ha medidor bloqueado	Retorno de agua excedido
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266175	171	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B259784	172	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266180	173	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	A09B266177	174	Água Fria	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	42070654	11	Gás 1	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	42070699	12	Gás 1	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	42067019	13	Gás 1	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	42070633	14	Gás 1	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	42067303	21	Gás 1	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	42070668	22	Gás 1	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	42067331	23	Gás 1	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
Park Way Aclimacao	Rua Albina Barbosa, 210 - Aclimação São Paulo / SP	42070528	24	Gás 1	08/11/2024	11:26:29	0	0	0	l	-	0	0	0	0	0	0	0
