Medidor	Localizacao	Tipo de Fluido	Data	Horario	Indice	Indice antigo	Consumo	Unid._levant.	Bateria	Ha desmontagem/corte	Houve desmontagem/corte	Ha vazamento	Ha fraude magnetica	Houve fraude magnetica	Ha medidor bloqueado	Retorno de agua excedido
44.681466901874884	64.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
4.2280000000000655	64.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
54.738885336273356	71.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.8179999999999836	71.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
35.141910121279416	72.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
2.754000000000019	72.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
64.5055744211689	73.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.408999999999992	73.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
55.193149944873625	74.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.1380000000000337	74.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
0.27255876515858696	81.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
0.005999999999971806	81.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
57.5098994487322	82.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
4.456000000000017	82.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
69.6387644983469	83.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.4890000000000327	83.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
87.52770478500462	84.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
4.328999999999951	84.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
54.60260595369393	91.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
